date,Availability,SOC,Power,Frequency
02/09/2025 16:30:00,,0.85,-0.0037833333333333334,49.97
02/09/2025 17:00:00,,0.85,-0.003876666666666667,50.0
02/09/2025 17:30:00,,0.85,-0.004353333333333334,50.0
02/09/2025 18:00:00,,0.8,-0.004676666666666667,50.04
02/09/2025 18:30:00,,0.77,-0.00409,50.02
02/09/2025 19:00:00,,0.77,-0.0062966666666666666,50.083333333333336
02/09/2025 19:30:00,,0.77,-0.007529999999999999,50.06333333333333
02/09/2025 20:00:00,,0.77,-0.004656666666666667,49.946666666666665
02/09/2025 20:30:00,,0.77,-0.0044199999999999995,50.00666666666666
02/09/2025 21:00:00,,0.77,-0.004156666666666667,49.973333333333336
02/09/2025 21:30:00,,0.82,-0.004113333333333333,50.03333333333333
02/09/2025 22:00:00,,0.77,-0.004106666666666667,49.96
02/09/2025 22:30:00,,0.77,-0.004416666666666667,49.93666666666667
02/09/2025 23:00:00,,0.77,-0.0044666666666666665,49.95333333333334
02/09/2025 23:30:00,,0.77,-0.004356666666666667,49.943333333333335
03/09/2025 00:00:00,,0.77,-0.0041400000000000005,50.01666666666667
03/09/2025 00:30:00,,0.77,-0.00802,49.97666666666667
03/09/2025 01:00:00,,0.77,-0.006023333333333333,49.97
03/09/2025 01:30:00,,0.77,-0.0045266666666666676,49.96666666666667
03/09/2025 02:00:00,,0.77,-0.00496,49.98666666666667
03/09/2025 02:30:00,,0.77,-0.005803333333333334,50.01
03/09/2025 03:00:00,,0.77,-0.00599,50.00666666666667
03/09/2025 03:30:00,,0.77,-0.004536666666666667,50.0
03/09/2025 04:00:00,,0.77,-0.004043333333333334,49.96666666666667
03/09/2025 04:30:00,,0.77,-0.004560000000000001,49.949999999999996
03/09/2025 05:00:00,,0.77,-0.004040000000000001,50.07333333333333
03/09/2025 05:30:00,,0.77,-0.004026666666666667,50.03666666666666
03/09/2025 06:00:00,,0.77,-0.00403,50.02333333333333
03/09/2025 06:30:00,,0.77,-0.00409,50.026666666666664
03/09/2025 07:00:00,,0.77,-0.003946666666666667,49.953333333333326
03/09/2025 07:30:00,,0.77,-0.00451,49.98333333333334
03/09/2025 08:00:00,,0.77,-0.009306666666666666,49.916666666666664
03/09/2025 08:30:00,,0.77,-0.00718,50.06
03/09/2025 09:00:00,,0.77,-0.004686666666666666,49.97
03/09/2025 09:30:00,,0.77,-0.00471,50.04333333333333
03/09/2025 10:00:00,,0.77,-0.004253333333333334,50.11000000000001
03/09/2025 10:30:00,,0.77,-0.004416666666666667,50.11333333333334
03/09/2025 11:00:00,,0.77,-0.00383,50.04333333333333
03/09/2025 11:30:00,,0.77,-0.003626666666666667,50.083333333333336
03/09/2025 12:00:00,,0.77,-0.003523333333333333,49.98666666666667
03/09/2025 12:30:00,,0.77,-0.0036733333333333336,50.02333333333333
03/09/2025 13:00:00,,0.77,-0.0037166666666666667,49.973333333333336
03/09/2025 13:30:00,,0.77,-0.0036033333333333334,50.11333333333334
03/09/2025 14:00:00,,0.77,-0.003863333333333333,49.99666666666667
03/09/2025 14:30:00,,0.77,-0.0037700000000000003,50.093333333333334
03/09/2025 15:00:00,,0.77,-0.004086666666666666,50.096666666666664
03/09/2025 15:30:00,,0.77,-0.005663333333333333,50.01333333333333
03/09/2025 16:00:00,,0.77,-0.00664,50.04666666666666
03/09/2025 16:30:00,,0.77,-0.0064333333333333334,50.1
03/09/2025 17:00:00,,0.77,-0.00449,49.96
03/09/2025 17:30:00,,0.77,-0.003826666666666667,49.949999999999996
03/09/2025 18:00:00,,0.77,-0.00513,49.949999999999996
03/09/2025 18:30:00,,0.77,-0.0038766666666666667,49.946666666666665
03/09/2025 19:00:00,,0.77,-0.008103333333333332,49.919999999999995
03/09/2025 19:30:00,,0.77,-0.008583333333333332,50.06333333333333
03/09/2025 20:00:00,,0.77,-0.00795,50.026666666666664
03/09/2025 20:30:00,,0.77,-0.007833333333333333,49.99666666666667
03/09/2025 21:00:00,,0.77,-0.007593333333333334,50.04999999999999
03/09/2025 21:30:00,,0.77,-0.007996666666666668,49.99
03/09/2025 22:00:00,,0.77,-0.00803,49.93
03/09/2025 22:30:00,,0.77,-0.00791,49.98
03/09/2025 23:00:00,,0.77,-0.007710000000000001,50.11000000000001
03/09/2025 23:30:00,,0.77,-0.007686666666666667,50.09666666666667
04/09/2025 00:00:00,,0.77,-0.007516666666666667,49.92333333333334
04/09/2025 00:30:00,,0.77,-0.007456666666666667,50.04666666666666
04/09/2025 01:00:00,,0.77,-0.007919999999999998,49.94
04/09/2025 01:30:00,,0.77,-0.007843333333333334,49.93333333333334
04/09/2025 02:00:00,,0.77,-0.008033333333333333,49.99666666666667
04/09/2025 02:30:00,,0.77,-0.008026666666666666,50.04
04/09/2025 03:00:00,,0.77,-0.008283333333333334,50.093333333333334
04/09/2025 03:30:00,,0.77,-0.007743333333333334,50.04333333333333
04/09/2025 04:00:00,,0.77,-0.007636666666666667,50.01333333333334
04/09/2025 04:30:00,,0.77,-0.006993333333333333,50.01
04/09/2025 05:00:00,,0.77,-0.007200000000000001,50.02666666666667
04/09/2025 05:30:00,,0.77,-0.00788,49.98333333333333
04/09/2025 06:00:00,,0.77,-0.007846666666666667,50.01
04/09/2025 06:30:00,,0.77,-0.007533333333333334,50.07
04/09/2025 07:00:00,,0.77,-0.00731,49.923333333333325
04/09/2025 07:30:00,,0.77,-0.007186666666666667,49.919999999999995
04/09/2025 08:00:00,,0.77,-0.007333333333333333,49.92666666666667
04/09/2025 08:30:00,,0.77,-0.00708,49.99666666666667
04/09/2025 09:00:00,,0.77,-0.007336666666666666,49.96
04/09/2025 09:30:00,,0.77,-0.0072633333333333334,49.97666666666667
04/09/2025 10:00:00,,0.77,-0.007143333333333332,49.98
04/09/2025 10:30:00,,0.77,-0.00743,49.953333333333326
04/09/2025 11:00:00,,0.77,-0.0072699999999999996,49.94
04/09/2025 11:30:00,,0.77,-0.007063333333333334,49.99
04/09/2025 12:00:00,,0.77,-0.007183333333333333,49.949999999999996
04/09/2025 12:30:00,,0.77,-0.007106666666666667,50.06
04/09/2025 13:00:00,,0.77,-0.00716,49.89333333333334
04/09/2025 13:30:00,,0.77,-0.007153333333333334,50.03
04/09/2025 14:00:00,,0.77,-0.007273333333333333,50.03666666666667
04/09/2025 14:30:00,,0.77,-0.00726,50.03666666666666
04/09/2025 15:00:00,,0.77,-0.007136666666666666,50.04333333333333
04/09/2025 15:30:00,,0.77,-0.0071133333333333335,50.10333333333333
04/09/2025 16:00:00,,0.77,-0.007306666666666667,50.03
04/09/2025 16:30:00,,0.77,-0.0075066666666666676,49.99
04/09/2025 17:00:00,,0.77,-0.00758,50.02333333333333
04/09/2025 17:30:00,,0.77,-0.007476666666666666,49.96666666666667
